Day,Time,Group,Food Name,Amount,Energy (kcal),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2025-06-14,,"Breakfast","Maple Syrup","1.00 tbsp",51.19,0.01,0.25,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.08,0.00,0.02,4.13,0.57,0.39,41.74,0.12,2.36,0.29,13.20,0.00,0.00,11.90,11.90,13.20,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,"Sweets"
2025-06-14,,"Breakfast","Apricot, Dried, Uncooked","70.00 g",168.70,0.01,0.05,1.81,0.36,0.10,0.00,7.00,126.18,0.70,0.00,3.03,2.17,38.50,0.24,1.86,22.40,0.16,49.70,813.40,1.54,7.00,0.27,43.85,5.11,0.24,37.41,0.00,37.87,0.36,0.00,0.05,0.05,0.01,0.00,0.00,0.05,0.01,0.03,0.04,0.07,0.06,0.01,0.04,2.37,0.05,0.01,0.03,0.05,"Fruits and Fruit Juices"
2025-06-14,,"Breakfast","AM Supplements 27052025","1.00 full recipe",,,,50.00,,,,,,200.00,1332.00,,100.00,333.33,,,,,,,,20.00,5.00,,,,,,,,,,,,,1.80,,,,,,1.00,,,,,,,,""
2025-06-14,,"Lunch","Nutty Pudding","1.00 full recipe",801.23,0.79,0.18,3.54,0.83,0.69,0.00,77.09,1.36,10.79,0.00,4.08,3.54,207.48,0.91,7.28,231.69,6.96,601.43,615.55,58.33,350.92,4.25,59.73,25.42,6.01,20.56,0.06,34.28,47.39,0.00,18.67,16.94,7.73,0.03,6.14,10.69,0.22,0.38,0.58,1.04,0.60,0.28,0.78,52.78,0.58,0.21,0.52,0.74,"Meals, Entrees, and Sidedishes"
2025-06-14,,"Dinner","Potato Gnocchi","300.00 g",406.01,0.48,0.24,3.95,0.85,0.32,0.21,88.16,188.99,7.54,18.96,0.15,4.07,70.57,0.24,2.50,36.74,0.43,124.82,450.99,6.98,852.02,0.74,51.64,3.29,44.12,2.93,0.00,48.35,19.19,53.87,3.86,0.86,10.40,0.74,0.11,0.69,0.12,0.17,0.29,0.52,0.32,0.14,0.35,7.31,0.24,0.10,0.26,0.35,"Cereal Grains and Pasta"
2025-06-14,,"Dinner","Tomato Soup, Homemade","1.00 cup",133.79,0.08,0.11,1.57,0.29,0.19,0.04,22.66,115.43,32.48,4.59,2.30,15.98,45.99,0.21,1.74,27.22,0.26,76.16,592.97,2.28,591.98,0.46,13.05,2.27,0.09,8.04,0.30,10.71,8.79,22.11,3.50,0.53,4.26,0.22,0.08,0.31,0.04,0.06,0.10,0.14,0.14,0.03,0.10,3.16,0.10,0.03,0.07,0.10,"Soups, Sauces, and Gravies"
2025-06-14,,"Dinner","Carrots, Raw","2.00 medium - 6"" to 7"" long",54.90,0.08,0.12,1.72,0.33,0.18,0.00,45.14,1019.06,7.20,0.00,1.05,10.13,36.60,0.07,0.18,14.64,0.16,48.80,341.60,0.00,106.14,0.29,12.53,3.78,1.74,5.78,0.00,8.48,0.43,0.00,0.02,0.18,0.06,0.00,0.00,0.00,0.10,0.05,0.09,0.12,0.12,0.02,0.07,1.15,0.23,0.01,0.05,0.08,"Vegetables and Vegetable Products"
2025-06-14,,"Dinner","Peanut Butter, Unsalted","2.00 tbsp",192.85,0.05,0.06,4.23,0.37,0.14,0.00,28.06,0.00,0.00,0.00,2.93,0.10,15.80,0.14,0.56,54.18,0.54,108.04,179.95,1.32,5.48,0.81,7.19,1.61,1.15,3.38,2.53,5.51,16.56,0.00,8.37,4.04,3.33,0.02,0.01,3.95,0.07,0.18,0.20,0.50,0.22,0.09,0.39,7.16,0.17,0.07,0.27,0.25,"Fats and Oils"
2025-06-14,,"Dinner","Raisins, Uncooked","5.00 tbsp, whole pieces",135.48,0.05,0.06,0.35,0.04,0.08,0.00,2.27,0.00,1.04,0.00,0.05,1.59,28.09,0.12,0.81,16.31,0.13,44.40,337.12,0.27,11.78,0.16,35.94,2.04,4.37,29.53,0.00,33.67,0.11,0.00,0.01,0.02,0.04,0.00,0.01,0.02,0.02,0.06,0.05,0.08,0.07,0.02,0.05,1.50,0.06,0.04,0.01,0.07,"Fruits and Fruit Juices"
2025-06-15,,"Breakfast","Bread with Peanut Butter and Banana","1.00 full recipe",478.01,0.09,0.06,4.73,0.62,0.30,0.00,38.70,0.73,9.35,0.00,3.03,0.17,53.89,0.21,2.28,153.48,0.73,124.76,427.71,1.32,298.07,2.43,57.13,11.01,3.93,16.65,2.53,46.04,22.68,0.00,8.39,4.10,4.16,0.02,0.03,3.98,0.08,0.22,0.21,0.53,0.25,0.09,0.41,20.09,0.18,0.08,0.27,0.28,""
2025-06-15,,"Lunch","Nutty Pudding","1.00 full recipe",801.23,0.79,0.18,3.54,0.83,0.69,0.00,77.09,1.36,10.79,0.00,4.08,3.54,207.48,0.91,7.28,231.69,6.96,601.43,615.55,58.33,350.92,4.25,59.73,25.42,6.01,20.56,0.06,34.28,47.39,0.00,18.67,16.94,7.73,0.03,6.14,10.69,0.22,0.38,0.58,1.04,0.60,0.28,0.78,52.78,0.58,0.21,0.52,0.74,"Meals, Entrees, and Sidedishes"
2025-06-15,,"Dinner","Super Veggie","1.00 Serving",731.31,1.09,0.48,4.69,3.61,1.05,0.00,610.47,49.07,186.75,0.00,6.38,189.68,176.45,1.08,9.32,145.80,2.34,531.77,1774.63,7.40,183.14,4.80,90.58,17.49,49.39,18.30,0.00,72.93,31.01,0.00,19.47,5.93,4.37,0.04,0.89,4.95,0.42,0.89,1.30,2.16,2.15,0.35,1.51,32.19,1.15,0.33,0.84,1.61,""
2025-06-15,,"Dinner","Bagel, Wheat, Plain or Seasoned","1.00 medium - 3 1/2"" - 4"" diameter",256.66,0.45,0.13,3.94,0.55,0.18,0.00,54.67,0.26,0.00,0.00,0.44,1.17,262.50,0.29,3.78,85.01,2.20,231.13,246.19,15.65,472.83,2.12,52.51,6.88,35.99,8.13,7.88,45.63,1.82,0.00,0.25,0.80,0.31,0.00,0.05,0.75,0.22,0.27,0.36,0.72,0.31,0.18,0.54,11.70,0.30,0.14,0.24,0.45,"Baked Products"
2025-06-15,,"Dinner","Olive Oil","1.00 tbsp",119.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,8.13,0.13,0.00,0.08,0.00,0.00,0.00,0.13,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,9.85,1.42,1.86,0.02,0.10,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2025-06-15,,"Snacks","Woolworths, Sea Salt Crackers, Oven Baked","4.00 x 4.0 crackers",397.44,,,,,,,,,,,,,,,,,,,,,352.00,,52.00,2.40,,2.00,,49.60,18.80,,,,2.80,0.04,,,,,,,,,,6.40,,,,,"Snacks"
2025-06-16,,"Breakfast","Bread with Peanut Butter and Banana","1.00 full recipe",478.01,0.09,0.06,4.73,0.62,0.30,0.00,38.70,0.73,9.35,0.00,3.03,0.17,53.89,0.21,2.28,153.48,0.73,124.76,427.71,1.32,298.07,2.43,57.13,11.01,3.93,16.65,2.53,46.04,22.68,0.00,8.39,4.10,4.16,0.02,0.03,3.98,0.08,0.22,0.21,0.53,0.25,0.09,0.41,20.09,0.18,0.08,0.27,0.28,""
2025-06-16,,"Breakfast","Nutty Pudding","1.00 full recipe",801.23,0.79,0.18,3.54,0.83,0.69,0.00,77.09,1.36,10.79,0.00,4.08,3.54,207.48,0.91,7.28,231.69,6.96,601.43,615.55,58.33,350.92,4.25,59.73,25.42,6.01,20.56,0.06,34.28,47.39,0.00,18.67,16.94,7.73,0.03,6.14,10.69,0.22,0.38,0.58,1.04,0.60,0.28,0.78,52.78,0.58,0.21,0.52,0.74,"Meals, Entrees, and Sidedishes"
2025-06-16,,"Lunch","Brown Rice, Steamed","200.00 g",246.00,0.36,0.14,5.12,0.76,0.25,0.00,18.00,0.00,0.00,0.00,0.34,0.40,6.00,0.21,1.12,78.00,1.95,206.00,172.00,11.60,8.00,1.42,51.16,3.20,49.58,0.48,0.00,47.90,1.94,0.00,0.74,0.73,0.52,0.00,0.02,0.71,0.06,0.13,0.22,0.43,0.20,0.12,0.27,5.48,0.19,0.07,0.19,0.30,"Cereal Grains and Pasta"
2025-06-16,,"Lunch","Black Beans, Canned, Drained","1.00 cup, whole pieces",240.79,0.41,0.11,1.12,0.46,0.24,0.00,240.79,0.00,1.55,0.00,0.02,1.03,118.68,0.36,4.06,91.16,0.91,247.67,669.06,4.99,662.18,1.77,44.80,18.06,26.49,0.64,0.00,26.63,1.07,0.00,0.24,0.84,0.17,0.00,0.30,0.23,0.13,0.35,0.67,1.20,0.89,0.19,0.81,14.16,0.50,0.17,0.34,0.87,"Legumes and Legume Products"
2025-06-16,,"Dinner","Super Veggie","1.00 Serving",731.31,1.09,0.48,4.69,3.61,1.05,0.00,610.47,49.07,186.75,0.00,6.38,189.68,176.45,1.08,9.32,145.80,2.34,531.77,1774.63,7.40,183.14,4.80,90.58,17.49,49.39,18.30,0.00,72.93,31.01,0.00,19.47,5.93,4.37,0.04,0.89,4.95,0.42,0.89,1.30,2.16,2.15,0.35,1.51,32.19,1.15,0.33,0.84,1.61,""
2025-06-17,,"Breakfast","AM Supplements 16062025","1.00 full recipe",,,,50.00,,,1000.00,1000.00,,200.00,1332.00,,100.00,333.33,,,,,,,,20.00,5.00,,,,,,,,,,,,,1.80,,,,,,1.00,,,,,,,,""
2025-06-17,,"Breakfast","Bread with Peanut Butter and Banana","1.00 full recipe",478.01,0.09,0.06,4.73,0.62,0.30,0.00,38.70,0.73,9.35,0.00,3.03,0.17,53.89,0.21,2.28,153.48,0.73,124.76,427.71,1.32,298.07,2.43,57.13,11.01,3.93,16.65,2.53,46.04,22.68,0.00,8.39,4.10,4.16,0.02,0.03,3.98,0.08,0.22,0.21,0.53,0.25,0.09,0.41,20.09,0.18,0.08,0.27,0.28,""
2025-06-17,,"Breakfast","Overnight Oats","1.00 full recipe",596.51,0.56,0.49,1.87,1.50,0.25,0.00,52.33,14.09,0.59,0.00,2.63,3.03,97.06,0.68,5.30,189.66,5.05,580.30,664.86,37.91,13.34,4.25,111.23,16.34,69.83,19.96,11.90,94.84,10.15,0.00,3.52,4.19,1.64,0.00,0.13,4.06,0.55,0.36,0.65,1.24,0.80,0.27,0.84,17.49,0.50,0.24,0.49,0.88,""
2025-06-17,,"Breakfast","Nutty Pudding","1.00 full recipe",795.90,0.78,0.18,3.49,0.82,0.69,0.00,75.39,1.35,10.72,0.00,4.03,3.48,204.68,0.90,7.19,227.80,6.94,592.73,607.80,56.15,350.78,4.18,59.44,25.30,5.91,20.49,0.06,34.11,47.01,0.00,18.43,16.83,7.71,0.03,6.10,10.63,0.22,0.37,0.57,1.02,0.58,0.27,0.77,52.50,0.57,0.21,0.52,0.73,"Meals, Entrees, and Sidedishes"
2025-06-17,,"Breakfast","Coffee, Cappuccino, from Ground Coffee Beans, with Regular Fat Soy Milk","400.00 g",189.17,0.08,0.81,7.32,,0.36,1.20,36.00,144.00,0.00,,2.76,,280.00,,1.56,144.00,,216.00,700.00,2.40,148.00,0.56,17.60,2.00,2.40,9.60,6.80,15.60,8.40,0.00,1.72,4.64,1.44,0.07,0.12,4.52,,,,,,,,11.60,,0.13,,,"Beverages"
2025-06-17,,"Lunch","Mild Pulled Shiitake Mushroom","1.00 full recipe",713.41,0.89,0.35,6.14,3.98,0.87,0.00,395.29,21.41,16.95,20.30,0.49,12.05,232.54,1.37,8.25,198.09,2.36,622.79,1256.14,40.24,966.10,4.93,145.97,28.92,95.42,8.08,0.00,116.14,4.00,0.00,0.97,2.19,0.70,0.00,0.42,1.35,0.35,0.68,1.20,2.37,1.42,0.44,1.47,27.36,0.97,0.30,0.76,1.57,""
2025-06-17,,"Dinner","Super Veggie","1.00 Serving",731.31,1.09,0.48,4.69,3.61,1.05,0.00,610.47,49.07,186.75,0.00,6.38,189.68,176.45,1.08,9.32,145.80,2.34,531.77,1774.63,7.40,183.14,4.80,90.58,17.49,49.39,18.30,0.00,72.93,31.01,0.00,19.47,5.93,4.37,0.04,0.89,4.95,0.42,0.89,1.30,2.16,2.15,0.35,1.51,32.19,1.15,0.33,0.84,1.61,""
2025-06-18,,"Breakfast","Overnight Oats","1.20 full recipe",715.82,0.67,0.59,2.24,1.80,0.31,0.00,62.79,16.91,0.70,0.00,3.15,3.64,116.48,0.82,6.37,227.59,6.06,696.35,797.83,45.49,16.01,5.10,133.47,19.61,83.79,23.96,14.28,113.81,12.18,0.00,4.23,5.03,1.96,0.00,0.15,4.88,0.67,0.44,0.78,1.49,0.96,0.32,1.01,20.99,0.61,0.29,0.59,1.06,""
2025-06-18,,"Breakfast","Mild Pulled Shiitake Mushroom","1.00 full recipe",713.41,0.89,0.35,6.14,3.98,0.87,0.00,395.29,21.41,16.95,20.30,0.49,12.05,232.54,1.37,8.25,198.09,2.36,622.79,1256.14,40.24,966.10,4.93,145.97,28.92,95.42,8.08,0.00,116.14,4.00,0.00,0.97,2.19,0.70,0.00,0.42,1.35,0.35,0.68,1.20,2.37,1.42,0.44,1.47,27.36,0.97,0.30,0.76,1.57,""
2025-06-18,,"Breakfast","Pretzels, Hard, Sticks, Salted","0.70 cup, whole pieces",107.54,0.12,0.09,1.48,0.09,0.02,0.00,63.35,0.00,0.59,0.00,0.13,0.78,7.56,0.04,1.28,8.12,0.28,35.85,62.45,1.23,347.25,0.29,22.51,0.95,20.33,0.62,0.60,21.56,0.82,0.00,0.20,0.36,0.11,0.00,0.02,0.34,0.05,0.06,0.11,0.21,0.07,0.05,0.15,2.81,0.07,0.03,0.09,0.13,"Snacks"
2025-06-18,,"Lunch","Nutty Pudding","1.00 full recipe",795.90,0.78,0.18,3.49,0.82,0.69,0.00,75.39,1.35,10.72,0.00,4.03,3.48,204.68,0.90,7.19,227.80,6.94,592.73,607.80,56.15,350.78,4.18,59.44,25.30,5.91,20.49,0.06,34.11,47.01,0.00,18.43,16.83,7.71,0.03,6.10,10.63,0.22,0.37,0.57,1.02,0.58,0.27,0.77,52.50,0.57,0.21,0.52,0.73,"Meals, Entrees, and Sidedishes"
2025-06-18,,"Lunch","Bread with Almond Butter and Banana","1.00 full recipe",495.75,0.08,0.46,1.70,0.34,0.17,0.00,22.72,0.87,8.41,0.00,5.33,0.47,112.31,0.38,2.82,184.35,1.45,174.49,487.92,0.37,294.18,2.81,62.00,11.27,2.84,21.35,7.93,50.63,22.69,0.00,10.87,3.99,2.16,0.00,0.02,3.97,0.08,0.24,0.31,0.58,0.23,0.06,0.46,19.42,0.26,0.07,0.24,0.37,""
2025-06-18,,"Dinner","Super Veggie","1.00 Serving",731.31,1.09,0.48,4.69,3.61,1.05,0.00,610.47,49.07,186.75,0.00,6.38,189.68,176.45,1.08,9.32,145.80,2.34,531.77,1774.63,7.40,183.14,4.80,90.58,17.49,49.39,18.30,0.00,72.93,31.01,0.00,19.47,5.93,4.37,0.04,0.89,4.95,0.42,0.89,1.30,2.16,2.15,0.35,1.51,32.19,1.15,0.33,0.84,1.61,""
2025-06-19,,"Breakfast","Bread with Almond Butter and Banana","1.00 full recipe",495.75,0.08,0.46,1.70,0.34,0.17,0.00,22.72,0.87,8.41,0.00,5.33,0.47,112.31,0.38,2.82,184.35,1.45,174.49,487.92,0.37,294.18,2.81,62.00,11.27,2.84,21.35,7.93,50.63,22.69,0.00,10.87,3.99,2.16,0.00,0.02,3.97,0.08,0.24,0.31,0.58,0.23,0.06,0.46,19.42,0.26,0.07,0.24,0.37,""
2025-06-19,,"Breakfast","Nutty Pudding","1.10 full recipe",875.49,0.85,0.19,3.84,0.91,0.76,0.00,82.93,1.48,11.79,0.00,4.43,3.83,225.15,1.00,7.91,250.58,7.63,652.00,668.58,61.76,385.86,4.60,65.38,27.83,6.51,22.54,0.07,37.52,51.71,0.00,20.28,18.51,8.48,0.03,6.71,11.69,0.24,0.41,0.63,1.12,0.64,0.30,0.84,57.75,0.63,0.23,0.57,0.80,"Meals, Entrees, and Sidedishes"
2025-06-19,,"Breakfast","AM Supplements 16062025","1.00 full recipe",,,,50.00,,,1000.00,1000.00,,200.00,1332.00,,100.00,333.33,,,,,,,,20.00,5.00,,,,,,,,,,,,,1.80,,,,,,1.00,,,,,,,,""
2025-06-19,,"Lunch","[GYG] Mild Pulled Shiitake Mushroom","1.00 full recipe",605.06,0.71,0.30,5.64,3.77,0.77,0.00,286.94,21.41,16.25,20.30,0.48,11.59,179.14,1.21,6.42,157.06,1.95,511.34,955.06,38.00,171.48,4.13,125.81,20.79,83.50,7.79,0.00,104.15,3.52,0.00,0.86,1.81,0.62,0.00,0.28,1.24,0.29,0.52,0.90,1.83,1.02,0.35,1.10,20.99,0.75,0.23,0.61,1.18,""
2025-06-19,,"Lunch","Overnight Oats","1.00 full recipe",596.51,0.56,0.49,1.87,1.50,0.25,0.00,52.33,14.09,0.59,0.00,2.63,3.03,97.06,0.68,5.30,189.66,5.05,580.30,664.86,37.91,13.34,4.25,111.23,16.34,69.83,19.96,11.90,94.84,10.15,0.00,3.52,4.19,1.64,0.00,0.13,4.06,0.55,0.36,0.65,1.24,0.80,0.27,0.84,17.49,0.50,0.24,0.49,0.88,""
2025-06-19,,"Dinner","[GYG] Mild Pulled Shiitake Mushroom","1.20 full recipe",726.07,0.85,0.36,6.76,4.53,0.92,0.00,344.32,25.69,19.50,24.36,0.57,13.90,214.96,1.45,7.71,188.48,2.34,613.61,1146.07,45.60,205.78,4.96,150.97,24.95,100.20,9.35,0.00,124.98,4.22,0.00,1.03,2.17,0.74,0.00,0.33,1.49,0.35,0.62,1.08,2.20,1.22,0.42,1.32,25.19,0.90,0.27,0.73,1.42,""
2025-06-20,,"Uncategorized","[CBB] Jackfruit Burrito w/Chips","1.00 full recipe",850.75,0.85,0.40,9.05,1.70,1.11,0.00,209.23,28.92,40.25,0.00,1.86,12.90,184.68,0.66,4.72,234.40,2.93,641.89,1476.79,21.89,1173.11,3.82,156.86,20.76,100.26,34.26,1.77,134.33,18.68,2.50,2.75,4.47,3.31,0.01,0.37,3.68,0.26,0.54,0.88,1.93,1.02,0.39,1.05,21.59,0.79,0.25,0.75,1.18,""
2025-06-20,,"Breakfast","Overnight Oats","1.00 full recipe",596.51,0.56,0.49,1.87,1.50,0.25,0.00,52.33,14.09,0.59,0.00,2.63,3.03,97.06,0.68,5.30,189.66,5.05,580.30,664.86,37.91,13.34,4.25,111.23,16.34,69.83,19.96,11.90,94.84,10.15,0.00,3.52,4.19,1.64,0.00,0.13,4.06,0.55,0.36,0.65,1.24,0.80,0.27,0.84,17.49,0.50,0.24,0.49,0.88,""
2025-06-20,,"Breakfast","Pretzels, Hard, Sticks, Salted","1.00 cup, whole pieces",153.62,0.17,0.13,2.11,0.13,0.03,0.00,90.49,0.00,0.84,0.00,0.19,1.12,10.80,0.06,1.83,11.60,0.41,51.21,89.21,1.76,496.08,0.42,32.16,1.36,29.04,0.88,0.86,30.80,1.17,0.00,0.29,0.52,0.16,0.00,0.03,0.49,0.07,0.09,0.16,0.30,0.10,0.07,0.21,4.02,0.10,0.04,0.13,0.19,"Snacks"
2025-06-20,,"Breakfast","Coffee, Cappuccino, from Ground Coffee Beans, with Regular Fat Soy Milk","400.00 g",189.17,0.08,0.81,7.32,,0.36,1.20,36.00,144.00,0.00,,2.76,,280.00,,1.56,144.00,,216.00,700.00,2.40,148.00,0.56,17.60,2.00,2.40,9.60,6.80,15.60,8.40,0.00,1.72,4.64,1.44,0.07,0.12,4.52,,,,,,,,11.60,,0.13,,,"Beverages"
2025-06-20,,"Lunch","[GYG] Mild Pulled Shiitake Mushroom","1.20 full recipe",726.07,0.85,0.36,6.76,4.53,0.92,0.00,344.32,25.69,19.50,24.36,0.57,13.90,214.96,1.45,7.71,188.48,2.34,613.61,1146.07,45.60,205.78,4.96,150.97,24.95,100.20,9.35,0.00,124.98,4.22,0.00,1.03,2.17,0.74,0.00,0.33,1.49,0.35,0.62,1.08,2.20,1.22,0.42,1.32,25.19,0.90,0.27,0.73,1.42,""
2025-06-20,,"Lunch","Deedee's Poke Bowl","1.00 Serving",500.13,0.50,0.36,4.75,1.99,0.68,0.00,277.28,689.27,59.47,0.00,1.87,44.90,318.25,0.78,5.52,176.46,3.03,491.31,1433.09,18.91,234.59,3.63,81.29,15.37,45.71,12.92,1.19,65.58,10.85,0.00,4.75,3.10,1.84,0.01,0.36,2.52,0.19,0.58,1.01,1.81,1.34,0.33,1.17,23.97,0.94,0.31,0.78,1.22,""
2025-06-20,,"Dinner","[CBB] Jackfruit Burrito w/Chips","1.00 full recipe",850.75,0.85,0.40,9.05,1.70,1.11,0.00,209.23,28.92,40.25,0.00,1.86,12.90,184.68,0.66,4.72,234.40,2.93,641.89,1476.79,21.89,1173.11,3.82,156.86,20.76,100.26,34.26,1.77,134.33,18.68,2.50,2.75,4.47,3.31,0.01,0.37,3.68,0.26,0.54,0.88,1.93,1.02,0.39,1.05,21.59,0.79,0.25,0.75,1.18,""
2025-06-21,,"Breakfast","Overnight Oats","1.00 full recipe",596.51,0.56,0.49,1.87,1.50,0.25,0.00,52.33,14.09,0.59,0.00,2.63,3.03,97.06,0.68,5.30,189.66,5.05,580.30,664.86,37.91,13.34,4.25,111.23,16.34,69.83,19.96,11.90,94.84,10.15,0.00,3.52,4.19,1.64,0.00,0.13,4.06,0.55,0.36,0.65,1.24,0.80,0.27,0.84,17.49,0.50,0.24,0.49,0.88,""
2025-06-21,,"Breakfast","AM Supplements 16062025","1.00 full recipe",,,,50.00,,,1000.00,1000.00,,200.00,1332.00,,100.00,333.33,,,,,,,,20.00,5.00,,,,,,,,,,,,,1.80,,,,,,1.00,,,,,,,,""
2025-06-21,,"Breakfast","Pretzels, Hard, Sticks, Salted","0.75 cup, whole pieces",115.22,0.13,0.10,1.58,0.10,0.02,0.00,67.87,0.00,0.63,0.00,0.14,0.84,8.10,0.05,1.37,8.70,0.30,38.41,66.91,1.32,372.06,0.31,24.12,1.02,21.78,0.66,0.64,23.10,0.88,0.00,0.22,0.39,0.12,0.00,0.02,0.37,0.05,0.07,0.12,0.23,0.08,0.05,0.16,3.01,0.08,0.03,0.10,0.14,"Snacks"
2025-06-21,,"Lunch","Nutty Pudding","1.10 full recipe",875.49,0.85,0.19,3.84,0.91,0.76,0.00,82.93,1.48,11.79,0.00,4.43,3.83,225.15,1.00,7.91,250.58,7.63,652.00,668.58,61.76,385.86,4.60,65.38,27.83,6.51,22.54,0.07,37.52,51.71,0.00,20.28,18.51,8.48,0.03,6.71,11.69,0.24,0.41,0.63,1.12,0.64,0.30,0.84,57.75,0.63,0.23,0.57,0.80,"Meals, Entrees, and Sidedishes"
2025-06-21,,"Lunch","Bread with Peanut Butter and Banana","1.00 full recipe",478.01,0.09,0.06,4.73,0.62,0.30,0.00,38.70,0.73,9.35,0.00,3.03,0.17,53.89,0.21,2.28,153.48,0.73,124.76,427.71,1.32,298.07,2.43,57.13,11.01,3.93,16.65,2.53,46.04,22.68,0.00,8.39,4.10,4.16,0.02,0.03,3.98,0.08,0.22,0.21,0.53,0.25,0.09,0.41,20.09,0.18,0.08,0.27,0.28,""
2025-06-21,,"Lunch","[Fishbowl] Shiitake","1.00 full recipe",717.50,0.66,0.70,8.94,6.78,0.89,1.36,500.45,408.09,28.60,40.60,1.65,106.57,148.16,2.31,7.22,244.86,4.05,546.98,1928.97,52.36,935.25,6.18,115.09,20.53,51.51,35.77,5.12,92.84,23.64,0.00,6.79,4.57,10.04,0.01,0.22,4.13,0.30,0.44,0.78,1.41,0.97,0.35,0.91,21.79,0.81,0.23,0.64,0.99,""
2025-06-21,,"Dinner","Potato Gnocchi","169.00 g",228.72,0.27,0.14,2.22,0.48,0.18,0.12,49.67,106.47,4.25,10.68,0.08,2.29,39.76,0.14,1.41,20.70,0.25,70.31,254.06,3.93,479.97,0.42,29.09,1.86,24.85,1.65,0.00,27.23,10.81,30.35,2.18,0.49,5.86,0.41,0.06,0.39,0.07,0.10,0.16,0.30,0.18,0.08,0.20,4.12,0.14,0.05,0.14,0.20,"Cereal Grains and Pasta"
2025-06-21,,"Dinner","Olive Oil","1.00 tbsp",119.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,8.13,0.13,0.00,0.08,0.00,0.00,0.00,0.13,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,9.85,1.42,1.86,0.02,0.10,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2025-06-21,,"Dinner","Super Veggie","0.80 Serving",591.00,0.89,0.39,3.82,2.90,0.86,0.00,492.21,39.30,149.42,0.00,5.92,151.66,142.93,0.89,7.45,114.35,1.84,420.50,1419.03,5.99,146.44,3.83,72.92,14.10,39.65,14.68,0.00,58.69,25.28,0.00,15.93,4.77,3.54,0.03,0.59,4.11,0.33,0.71,1.05,1.74,1.72,0.28,1.21,25.77,0.92,0.26,0.67,1.29,""
2025-06-22,,"Uncategorized","Olive Oil","1.00 tbsp",119.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,8.13,0.13,0.00,0.08,0.00,0.00,0.00,0.13,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,9.85,1.42,1.86,0.02,0.10,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2025-06-22,,"Breakfast","Bread with Peanut Butter and Banana","1.00 full recipe",478.01,0.09,0.06,4.73,0.62,0.30,0.00,38.70,0.73,9.35,0.00,3.03,0.17,53.89,0.21,2.28,153.48,0.73,124.76,427.71,1.32,298.07,2.43,57.13,11.01,3.93,16.65,2.53,46.04,22.68,0.00,8.39,4.10,4.16,0.02,0.03,3.98,0.08,0.22,0.21,0.53,0.25,0.09,0.41,20.09,0.18,0.08,0.27,0.28,""
2025-06-22,,"Breakfast","Deedee's Banana Bread","1.50 Serving",281.16,0.24,0.26,1.12,0.75,0.24,0.00,25.31,0.80,9.46,0.00,0.29,1.21,54.96,0.32,2.05,94.62,2.08,197.20,462.52,17.78,350.74,1.67,55.98,6.87,23.52,21.51,8.92,49.10,4.67,0.00,1.13,2.39,0.70,0.00,1.20,1.19,0.20,0.18,0.26,0.49,0.32,0.11,0.34,6.78,0.22,0.09,0.19,0.35,""
